stock_item_name,stock_item_code,check
TIGER 200 철강소재,139240,1
TIGER 200 에너지화학,139250,1
TIGER 200 IT,139260,1
TIGER 200 금융,139270,1
TIGER 경기방어,139280,1
TIGER 200 경기소비재,139290,1
TIGER 금속선물(H),139310,1
TIGER 금은선물(H),139320,1
이마트,139480,1
KOSEF 미국달러선물인버스,139660,1
아주스틸,139990,1
KBSTAR 수출주,140570,1
KBSTAR 우량업종,140580,1
KODEX 보험,140700,1
KODEX 운송,140710,1
에이리츠,140910,1
파워 코스피100,140950,1
핸즈코퍼레이션,143210,1
KINDEX 밸류대형,143460,1
TIGER 미국S&P500선물(H),143850,1
TIGER 헬스케어,143860,1
KODEX 은선물(H),144600,1
코오롱머티리얼,144620,1
다이나믹디자인,145210,1
케이탑리츠,145270,1
KINDEX 인버스,145670,1
덴티움,145720,1
TREX 펀더멘탈 200,145850,1
삼양사,145990,1
삼양사우,145995,1
TIGER 모멘텀,147970,1
KBSTAR 200,148020,1
KOSEF 국고채10년,148070,1
TIGER 중국소비테마,150460,1
ARIRANG 200,152100,1
KODEX 국채선물10년,152380,1
KINDEX 레버리지,152500,1
한국ANKOR유전,152550,1
파워 200,152870,1
KODEX 단기채권,153130,1
KOSEF 코스피100,153270,1
하이골드3호,153360,1
DSR,155660,1
바다로19호,155900,1
KODEX MSCI Korea,156080,1
TIGER 단기통안채,157450,1
TIGER 소프트웨어,157490,1
TIGER 증권,157500,1
마이티 코스피100,159800,1
TIGER 구리실물,160580,1
애경유화,161000,1
한국타이어앤테크놀로지,161390,1
ARIRANG 고배당주,161510,1
한국콜마,161890,1
동일고무벨트,163560,1
TIGER 200커버드콜5%OTM,166400,1
KOSEF 국고채10년레버리지,167860,1
KTOP 코스피50,168300,1
한국패러랠,168490,1
KINDEX 중국본토CSI300,168580,1
KODEX 차이나A50,169950,1
동아에스티,170900,1
하이골드12호,172580,1
TIGER 로우볼,174350,1
KBSTAR 중국본토대형주CSI100,174360,1
JB금융지주,175330,1
파워 중기국고채,176710,1
KODEX 국채선물10년인버스,176950,1
PI첨단소재,178920,1
한진칼,180640,1
한진칼우,18064K,1
KINDEX 미국다우존스리츠(합성 H),181480,1
NHN,181710,1
TIGER 미국MSCI리츠(합성 H),182480,1
TIGER 단기선진하이일드(합성 H),182490,1
아세아시멘트,183190,1
KBSTAR 채권혼합,183700,1
KBSTAR 주식혼합,183710,1
KODEX 미국S&P바이오(합성),185680,1
종근당,185750,1
ARIRANG 글로벌MSCI(합성 H),189400,1
KINDEX 단기통안채,190620,1
더블유게임즈,192080,1
TIGER 차이나CSI300,192090,1
쿠쿠홀딩스,192400,1
드림텍,192650,1
파워 고배당저변동성,192720,1
코스맥스,192820,1
제이에스코퍼레이션,194370,1
해성디에스,195870,1
TIGER 일본TOPIX(합성 H),195920,1
TIGER 유로스탁스50(합성 H),195930,1
ARIRANG 선진국MSCI(합성 H),195970,1
ARIRANG 신흥국MSCI(합성 H),195980,1
KINDEX 일본TOPIX레버리지(H),196030,1
KBSTAR 단기통안채,196230,1
KODEX 미국S&P산업재(합성),200030,1
KOSEF 인도Nifty50(합성),200250,1
서연이화,200880,1
TIGER 미국나스닥바이오,203780,1
모두투어리츠,204210,1
만도,204320,1
KODEX 차이나H레버리지(H),204450,1
TIGER 차이나CSI300레버리지(합성),204480,1
KINDEX 일본TOPIX인버스(합성 H),205720,1
삼성바이오로직스,207940,1
SOL 선진국MSCI World(합성 H),208470,1
디와이파워,210540,1
TIGER 코스피고배당,210780,1
SK디앤디,210980,1
TIGER 배당성장,211560,1
KODEX 배당성장,211900,1
한솔제지,213500,1
KODEX 삼성그룹밸류,213610,1
ARIRANG 미국다우존스고배당주(합성 H),213630,1
이노션,214320,1
금호에이치티,214330,1
경보제약,214390,1
토니모리,214420,1
KODEX 단기채권PLUS,214980,1
HK S&P코리아로우볼,215620,1
TIGER 원유선물인버스(H),217770,1
TIGER 차이나CSI300인버스(합성),217780,1
TIGER 가격조정,217790,1
KODEX 미국S&P에너지(합성),218420,1
KBSTAR 미국S&P원유생산기업(합성 H),219390,1
KODEX 미국S&P500선물(H),219480,1
KINDEX 중국본토CSI300레버리지(합성),219900,1
SOL 중국본토 중소형 CSI500(합성 H),220130,1
KODEX 200가치저변동,223190,1
TIGER 미국S&P500선물인버스(H),225030,1
TIGER 미국S&P500레버리지(합성 H),225040,1
TIGER 유로스탁스레버리지(합성 H),225050,1
TIGER 이머징마켓MSCI레버리지(합성 H),225060,1
KINDEX 골드선물 레버리지(합성 H),225130,1
KOSEF 미국달러선물레버리지,225800,1
잇츠한불,226320,1
KINDEX Fn성장소비주도주,226380,1
KODEX 코스피,226490,1
KODEX 200 중소형,226980,1
TIGER 200 헬스케어,227540,1
TIGER 200 산업재,227550,1
TIGER 200 생활소비재,227560,1
TIGER 우량가치,227570,1
ARIRANG 코스피,227830,1
현대코퍼레이션홀딩스,227840,1
TIGER 화장품,228790,1
TIGER 여행레저,228800,1
TIGER 미디어컨텐츠,228810,1
TIGER KTOP30,228820,1
KODEX 코스닥 150,229200,1
LS전선아시아,229640,1
KODEX KTOP30,229720,1
KOSEF 미국달러선물인버스2X,230480,1
TIGER 코스닥150,232080,1
TIGER 코스닥150 레버리지,233160,1
KODEX 코스닥150 레버리지,233740,1
JW생명과학,234080,1
KBSTAR V&S셀렉트밸류,234310,1
TIGER 인도니프티50레버리지(합성),236350,1
KODEX 코스피100,237350,1
KODEX 배당성장채권혼합,237370,1
TIGER 경기방어채권혼합,237440,1
ARIRANG 스마트베타Quality채권혼합,238670,1
KINDEX 일본Nikkei225(H),238720,1
ARIRANG 우량회사채50 1년,239660,1
TIGER 일본니케이225,241180,1
KBSTAR V&S셀렉트밸류채권혼합,241390,1
두산밥캣,241560,1
화승엔터프라이즈,241590,1
TIGER 200IT레버리지,243880,1
TIGER 200에너지화학레버리지,243890,1
KODEX 바이오,244580,1
KODEX 모멘텀Plus,244620,1
KODEX 퀄리티Plus,244660,1
KODEX 밸류Plus,244670,1
에이플러스에셋,244920,1
TIGER 미국다우존스30,245340,1
TIGER 유로스탁스배당30,245350,1
TIGER 차이나HSCEI,245360,1
KINDEX 베트남VN30(합성),245710,1
솔루엠,248070,1
샘표식품,248170,1
TIGER 일본TOPIX헬스케어(합성),248260,1
TIGER S&P글로벌헬스케어(합성),248270,1
일동제약,249420,1
KBSTAR 차이나HSCEI(H),250730,1
TIGER 코스닥150선물인버스,250780,1
넷마블,251270,1
KODEX 코스닥150선물인버스,251340,1
KODEX 선진국MSCI World,251350,1
ARIRANG 고배당저변동50,251590,1
ARIRANG 고배당주채권혼합,251600,1
KINDEX 코스닥(합성),251890,1
TIGER 200동일가중,252000,1
KBSTAR 200선물레버리지,252400,1
KBSTAR 200선물인버스,252410,1
KBSTAR 200선물인버스2X,252420,1
KODEX 200동일가중,252650,1
KODEX 200선물인버스2X,252670,1
TIGER 200선물인버스2X,252710,1
KBSTAR 모멘텀밸류,252720,1
KBSTAR 모멘텀로우볼,252730,1
ARIRANG 200선물레버리지,253150,1
ARIRANG 200선물인버스2X,253160,1
KOSEF 200선물인버스2X,253230,1
KOSEF 200선물인버스,253240,1
KOSEF 200선물레버리지,253250,1
KBSTAR 헬스케어,253280,1
KBSTAR 헬스케어채권혼합,253290,1
KINDEX 인도네시아MSCI(합성),256440,1
ARIRANG 심천차이넥스트(합성),256450,1
KODEX 차이나심천ChiNext(합성),256750,1
크래프톤,259960,1
TIGER 코스닥150IT,261060,1
TIGER 코스닥150바이오테크,261070,1
TIGER 미국달러선물레버리지,261110,1
TIGER 미국달러선물인버스2X,261120,1
TIGER 우선주,261140,1
KODEX WTI원유선물(H),261220,1
KODEX 미국달러선물,261240,1
KODEX 미국달러선물레버리지,261250,1
KODEX 미국달러선물인버스2X,261260,1
KODEX 미국달러선물인버스,261270,1
KINDEX 필리핀MSCI(합성),261920,1
크라운제과,264900,1
크라운제과우,26490K,1
